预测结果Y,种类,预测结果概率_琴酒,预测结果概率_贝尔摩德,预测结果概率_雪莉,苯酚,类黄酮,非类黄酮苯酚,稀释的酒的蛋白质浓度的光谱度量,脯氨酸,有前花青素,颜色强度,色调,酒精,镁,灰的碱性,灰分,苹果酸
雪莉,雪莉,7.912289698849833e-07,5.7046709301952875e-05,0.9999421620617281,2.0,2.09,0.34,2.96,345.0,1.61,2.06,1.06,12.42,108.0,22.5,2.19,1.61
雪莉,雪莉,0.059348457820436566,0.018927845740669053,0.9217236964388943,2.53,1.3,0.55,1.93,750.0,0.42,3.17,1.02,13.34,110.0,17.0,2.36,0.94
琴酒,琴酒,0.9999579633827348,2.9866995986193683e-07,4.1737947305280575e-05,2.65,2.76,0.26,3.4,1050.0,1.28,4.38,1.05,13.2,100.0,11.2,2.14,1.78
雪莉,琴酒,0.40211425748308127,0.018990526676122475,0.5788952158407963,2.8,2.69,0.39,2.93,735.0,1.82,4.32,1.04,13.24,118.0,21.0,2.87,2.59
琴酒,琴酒,0.9999977638676564,2.828218641847486e-07,1.95331047957176e-06,2.6,2.51,0.31,3.58,1295.0,1.25,5.05,1.06,14.06,121.0,17.6,2.61,2.15
雪莉,雪莉,0.1574847824915065,0.001376564298255221,0.8411386532102383,2.23,2.17,0.26,2.96,710.0,1.4,3.3,1.27,12.08,97.0,17.5,1.7,2.08
琴酒,琴酒,0.9999687129331971,3.09886851032025e-05,2.98381699566923e-07,2.88,3.54,0.32,3.1,1260.0,2.08,8.9,1.12,13.94,108.0,17.4,2.27,1.73
贝尔摩德,雪莉,0.0007971456220858299,0.7494339939796688,0.24976886039824536,1.65,1.59,0.61,2.01,515.0,1.62,4.8,0.84,13.05,85.0,22.5,2.32,3.86
雪莉,雪莉,0.007086363804296482,0.08548471954449025,0.9074289166512133,1.6,0.99,0.14,2.26,625.0,1.56,2.5,0.95,11.81,134.0,21.5,2.74,2.12
琴酒,琴酒,0.9963968077465372,0.0007989451084319579,0.002804247145030864,3.0,3.04,0.2,3.53,760.0,2.08,5.1,0.89,14.22,128.0,13.2,2.51,3.99
雪莉,雪莉,0.00039527020435188077,0.0008799642231384696,0.9987247655725097,2.56,2.11,0.34,3.38,438.0,1.31,2.8,0.8,12.34,98.0,21.0,2.46,2.45
贝尔摩德,贝尔摩德,9.808693999745243e-06,0.9999901899916346,1.3143657124077598e-09,1.59,0.69,0.43,1.56,835.0,1.35,10.2,0.59,13.27,120.0,20.0,2.26,4.28
雪莉,雪莉,2.19562747419275e-05,0.00015506926145369846,0.9998229744638043,2.5,1.64,0.37,2.44,415.0,1.42,2.06,0.94,11.82,86.0,19.5,1.88,1.72
雪莉,雪莉,0.0006850704491825456,0.1669989276483402,0.8323160019024773,1.63,1.25,0.43,2.12,372.0,0.83,3.4,0.7,12.77,80.0,16.0,1.98,3.43
雪莉,雪莉,1.564032441962e-05,3.527670320602816e-05,0.9999490829723744,2.45,2.25,0.25,3.3,290.0,1.99,2.15,1.15,12.29,88.0,18.0,2.22,2.83
雪莉,雪莉,4.832123332085015e-05,0.0008003183910250791,0.999151360375654,2.48,2.01,0.42,2.31,434.0,1.44,3.08,1.1,11.41,88.0,21.0,2.5,0.74
贝尔摩德,雪莉,9.020157695902965e-05,0.96258817048975,0.03732162793329098,2.02,1.41,0.53,1.59,450.0,0.62,5.75,0.98,12.64,100.0,16.8,2.02,1.36
琴酒,琴酒,0.9997559941573535,7.373641041437033e-06,0.00023663220160524383,2.8,3.06,0.28,3.92,1065.0,2.29,5.64,1.04,14.23,127.0,15.6,2.43,1.71
贝尔摩德,贝尔摩德,0.09390867547238523,0.8437493729651054,0.06234195156250922,1.5,0.55,0.43,1.68,830.0,1.3,4.0,0.6,13.16,102.0,21.0,2.15,3.57
雪莉,雪莉,0.003023282791767046,0.0007250001602612623,0.9962517170479718,2.98,3.18,0.26,3.18,502.0,2.28,5.3,1.12,13.11,78.0,15.0,1.7,1.01
琴酒,琴酒,0.997519022904595,5.974595862717311e-07,0.0024803796358185497,2.61,2.88,0.27,4.0,1035.0,1.69,3.8,1.11,13.71,101.0,16.6,2.36,1.86
琴酒,琴酒,0.9999786741030678,1.7551236459196296e-07,2.1150384567578715e-05,2.4,2.19,0.27,2.77,1285.0,1.35,3.95,1.02,13.3,94.0,17.0,2.14,1.72
琴酒,琴酒,0.9999999537714684,3.1814313218462165e-08,1.4414218244402947e-08,2.86,3.19,0.22,2.88,1515.0,1.95,6.9,1.09,13.58,106.0,19.1,2.36,1.66
琴酒,琴酒,0.9986546705236029,5.345191655863374e-05,0.0012918775598385127,3.1,3.39,0.21,3.33,985.0,2.14,6.1,0.91,13.9,101.0,16.0,2.12,1.68
雪莉,雪莉,8.047320075506993e-07,1.583479889769489e-05,0.9999833604690948,2.95,2.86,0.21,3.16,410.0,1.87,3.38,1.36,13.86,86.0,25.0,2.67,1.51
雪莉,雪莉,1.5872838645965475e-05,0.0003298782273163258,0.9996542489340378,1.78,1.69,0.43,2.26,495.0,1.56,2.45,1.33,12.16,90.0,22.8,2.31,1.61
贝尔摩德,贝尔摩德,0.00013752151491414023,0.9971977583002173,0.0026647201848685968,1.62,0.48,0.58,1.82,580.0,0.88,5.7,0.81,13.49,88.0,19.5,2.19,3.59
琴酒,琴酒,0.9999565152338881,6.078091541218352e-08,4.342398519637167e-05,3.1,3.69,0.43,2.73,1150.0,2.81,5.4,1.25,14.75,91.0,11.4,2.39,1.73
琴酒,琴酒,0.9999904159647511,1.5754447181220863e-07,9.426490777006988e-06,2.45,2.99,0.22,3.37,1265.0,2.29,5.6,1.24,13.83,94.0,17.2,2.6,1.65
琴酒,琴酒,0.9412702163795624,0.00014015112315807614,0.058589632497279394,2.95,2.97,0.37,3.4,915.0,1.76,4.5,1.25,13.87,107.0,19.4,2.8,1.9
雪莉,雪莉,9.339133732766838e-06,0.003388415379270638,0.9966022454869965,1.88,1.84,0.27,2.78,472.0,1.03,3.74,0.98,13.49,87.0,24.0,2.24,1.66
贝尔摩德,贝尔摩德,0.00035688685649934844,0.9950132068428845,0.00462990630061614,1.7,1.2,0.17,1.29,600.0,0.84,5.0,0.78,12.7,106.0,21.5,2.36,3.55
雪莉,雪莉,3.0822710270139254e-07,1.542856751571944e-05,0.9999842632053815,2.22,2.45,0.4,2.78,342.0,1.9,2.12,0.89,12.37,88.0,24.5,2.3,1.63
琴酒,琴酒,0.982880332372172,0.00024112874245750895,0.01687853888537053,3.0,3.0,0.28,3.35,885.0,2.03,5.04,0.88,13.05,107.0,17.0,2.1,1.77
琴酒,琴酒,0.9999225707378684,4.047511061546419e-05,3.695415151633402e-05,2.85,2.65,0.3,3.33,1080.0,1.25,5.24,0.87,14.21,111.0,18.9,2.44,4.04
雪莉,雪莉,4.3497306789223346e-05,0.011864691723156547,0.9880918109700543,1.45,1.25,0.5,2.65,450.0,1.63,3.6,1.05,12.0,86.0,22.0,2.42,1.51
琴酒,琴酒,0.9999999524631771,1.494214230643226e-09,4.6042608563386996e-08,2.95,3.32,0.22,3.17,1510.0,2.38,5.75,1.25,14.1,105.0,18.0,2.3,2.16
贝尔摩德,贝尔摩德,0.0022036191210324596,0.9521732931086508,0.04562308777031684,2.0,0.8,0.47,2.05,550.0,1.02,4.4,0.91,13.62,92.0,20.0,2.35,4.95
贝尔摩德,贝尔摩德,1.604144038455275e-07,0.9999998360121249,3.5734712603020705e-09,1.7,0.92,0.43,1.56,695.0,1.46,10.68,0.85,13.45,111.0,23.0,2.6,3.7
雪莉,琴酒,0.49600152211315685,8.919715437563698e-05,0.5039092807324675,2.53,2.61,0.28,3.82,845.0,1.66,3.52,1.12,13.5,96.0,20.0,2.61,1.81
贝尔摩德,贝尔摩德,7.559218682331067e-06,0.9999305310457517,6.190973556604772e-05,1.48,0.58,0.53,1.55,640.0,1.4,7.6,0.58,12.58,103.0,20.0,2.1,1.29
琴酒,雪莉,0.6677576556793665,0.00026487668009873833,0.3319774676405347,2.5,2.27,0.32,2.63,937.0,3.28,2.6,1.16,12.47,162.0,19.0,2.2,1.52
雪莉,雪莉,0.00014200590816217646,7.776189849427364e-06,0.9998502179019884,2.2,1.59,0.42,3.21,625.0,1.38,1.74,1.07,12.08,70.0,23.6,2.3,1.33
雪莉,雪莉,0.0072255045519018166,0.00014897505133832585,0.9926255203967599,2.2,1.92,0.32,3.57,672.0,1.48,2.94,1.04,12.51,85.0,20.5,1.98,1.73
雪莉,雪莉,0.02988206713833812,0.013790628556916942,0.956327304304745,2.1,1.75,0.42,2.57,580.0,1.35,2.6,0.79,12.04,80.0,22.0,2.38,4.3
琴酒,琴酒,0.9993121985767617,1.3520722867058139e-05,0.0006742807003713287,2.45,2.43,0.29,2.51,1105.0,1.44,4.25,1.12,13.05,98.0,18.0,2.55,1.65
贝尔摩德,贝尔摩德,5.939698579334116e-05,0.9166525566457618,0.08328804636844483,1.55,0.52,0.5,2.06,520.0,0.55,4.35,0.89,13.52,97.0,23.5,2.72,3.17
贝尔摩德,贝尔摩德,5.427954418445994e-08,0.9999999125477995,3.317265636571792e-08,2.6,1.1,0.52,1.78,620.0,2.29,11.75,0.57,13.48,89.0,22.5,2.64,1.67
雪莉,雪莉,2.4096827724870667e-05,0.0011757778931420666,0.998800125279133,2.2,2.13,0.43,3.12,365.0,1.71,2.08,0.92,12.42,102.0,26.5,2.73,4.43
琴酒,琴酒,0.9999150130096953,2.2668064749606946e-06,8.272018382962278e-05,3.0,3.25,0.29,2.71,1285.0,2.38,5.7,1.19,13.73,101.0,22.5,2.7,1.5
雪莉,雪莉,0.009705172618668526,0.028860882347625058,0.9614339450337065,3.18,5.08,0.47,3.69,465.0,1.87,6.0,0.93,11.56,119.0,28.5,3.23,2.05
贝尔摩德,贝尔摩德,4.669386814023893e-05,0.9999524017320209,9.043998388217981e-07,1.74,0.63,0.61,1.48,725.0,1.55,7.9,0.6,13.17,93.0,22.0,2.32,5.19
琴酒,雪莉,0.6454515834302252,0.00017869623116760906,0.3543697203386072,3.38,2.14,0.13,3.13,886.0,1.65,3.21,0.99,11.96,101.0,21.0,2.3,1.09
琴酒,琴酒,0.9999999743176697,1.3394057881084607e-08,1.2288272251326841e-08,3.27,3.39,0.34,2.85,1450.0,1.97,6.75,1.05,14.2,112.0,15.2,2.45,1.76
